DATE,BAA10YM,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1967-06-01,1.13,2.8412600370598895,3.98,4.522613065326642,0.5985471115866892,4.0,,6.536502546689316,,2.556503564130952,6.582544689800218,,1.04,0.2089864158829613,3.9,,2.6,2.666666666666667,2.7050022049998512,-2.3910582658176027,-1.5641246926532126,5.618688836387475
1967-07-01,1.1,2.9275808936825687,3.79,25.59852670349907,-0.17662139280992806,4.0,,7.51751964323637,,2.46807981213355,5.4307116104868935,,1.37,0.2089864158829613,3.8,,3.8,2.7,2.7384763393392797,-2.017772938582174,-0.25070882858219123,5.456636608980969
1967-08-01,1.05,2.6033690658499253,3.9,25.737265415549594,1.6568183476147968,4.0,,8.082945408379171,,2.5361588664795987,5.5049668874172175,,1.38,6.359649122807021,3.8,,3.533333333333333,2.7,2.7158153018372433,-1.6978385014885466,0.24985945405706644,5.555921192451607
1967-09-01,1.1,2.595419847328251,3.99,35.850860420650086,0.5543061582468978,4.0,,8.266722759781242,,2.352922976965788,5.39656582174981,,1.31,6.359649122807021,3.8,,3.2666666666666666,2.7,2.6932775267756615,-1.3773586734248777,0.7443021908283276,5.654423519080343
1967-10-01,1.04,2.5875190258751957,3.88,76.86832740213522,0.6758305012685817,4.0,,8.934202228295153,,2.1139790914978196,4.89453204996928,,1.6,6.359649122807021,4.0,,3.0,2.7,2.670862011171815,-1.0563320586127078,1.2327311370881944,5.752152797616628
1967-11-01,0.97,3.10218978102188,4.13,60.04162330905307,2.8229583936796754,4.18,,9.197569662685945,,2.5900121502945295,5.57029177718833,,1.62,5.209513023782564,3.9,,4.8,3.066666666666667,3.064608237732358,-1.360955798198249,3.0086002747853113,6.670885226021861
1967-12-01,1.23,3.280680437424044,4.51,32.121212121212125,3.6909252274240245,4.5,,9.287796751353605,,2.6089357198729957,6.771045140300935,,1.19,5.209513023782564,3.8,,6.6,3.433333333333333,3.4560434655990013,-1.6672117759201521,4.809526347870219,7.584327791956991
1968-01-01,1.31,3.647416413373872,4.6,29.334582942830355,3.0927977342302793,4.5,,9.509966777408629,,2.135857018361942,7.4261432618373036,,0.93,5.209513023782564,3.7,,8.4,3.8,3.8451879810150746,-1.9751131458329296,6.636043442031747,8.492526051096782
1968-02-01,1.24,3.6363636363636376,4.71,35.35173642030276,4.6494225915254095,4.5,,9.338280766852192,,2.7296764431673948,8.235294117647074,,0.85,3.2943676939426236,3.8,,7.9,4.366666666666666,4.402216913532486,-2.2481595333860516,9.54865911792715,8.747181809164584
1968-03-01,1.11,3.9393939393939315,5.05,38.82575757575757,5.571233219050176,4.66,,8.8829895854605,,2.693422859758887,9.78217022993142,,0.69,3.2943676939426236,3.7,,7.4,4.933333333333334,4.959018407648208,-2.526753134627646,12.53539364434262,8.99873637203552
