,Real Gross Domestic Product,Real Gross Domestic Product,Real Gross Domestic Product,Federal Debt: Total Public Debt as Percent of Gross Domestic Product,Gross Private Domestic Investment,Personal Consumption Expenditures
DATE,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1947-01-01,,,2033.0610000000001,,35.854,156.161
1947-02-01,,,2031.2536666666667,,35.404333333333334,157.451
1947-03-01,,,2029.4463333333333,,34.95466666666667,158.741
1947-04-01,-1.0,,2027.639,,34.505,160.031
1947-05-01,-0.9333333333333333,,2026.2433333333333,,34.64033333333334,161.20166666666668
1947-06-01,-0.8666666666666667,,2024.8476666666668,,34.775666666666666,162.37233333333333
1947-07-01,-0.8,,2023.4520000000002,,34.911,163.543
1947-08-01,1.5999999999999999,,2034.0023333333336,,37.690666666666665,164.91933333333333
1947-09-01,4.0,,2044.5526666666667,,40.470333333333336,166.29566666666668
1947-10-01,6.4,,2055.103,,43.25,167.672
1947-11-01,6.333333333333334,,2065.407666666667,,44.56733333333333,168.572
1947-12-01,6.266666666666667,,2075.7123333333334,,45.88466666666667,169.472
1948-01-01,6.2,2.6,2086.0170000000003,,47.202,170.372
1948-02-01,6.4,3.2666666666666666,2097.494666666667,,48.24666666666667,171.62866666666667
1948-03-01,6.6,3.933333333333333,2108.972333333333,,49.291333333333334,172.88533333333334
1948-04-01,6.8,4.6,2120.45,,50.336000000000006,174.142
1948-05-01,5.3,4.866666666666666,2124.499333333333,,51.06266666666667,175.11866666666666
1948-06-01,3.8,5.133333333333334,2128.5486666666666,,51.78933333333334,176.09533333333334
1948-07-01,2.3,5.4,2132.598,,52.516000000000005,177.072
1948-08-01,1.6666666666666665,4.9,2133.392333333333,,52.122,177.35733333333334
1948-09-01,1.0333333333333332,4.4,2134.186666666667,,51.728,177.64266666666666
1948-10-01,0.4,3.9,2134.981,,51.333999999999996,177.928
1948-11-01,-1.5333333333333337,2.9,2125.174666666667,,48.602666666666664,177.56233333333333
1948-12-01,-3.4666666666666672,1.9,2115.3683333333333,,45.87133333333333,177.19666666666666
1949-01-01,-5.4,0.9,2105.562,,43.14,176.831
1949-02-01,-4.066666666666667,0.2666666666666667,2103.168,,40.840333333333334,177.36933333333332
1949-03-01,-2.733333333333334,-0.3666666666666666,2100.774,,38.54066666666667,177.90766666666667
1949-04-01,-1.4,-1.0,2098.38,,36.241,178.446
1949-05-01,0.46666666666666656,-0.8666666666666667,2105.6013333333335,,37.343666666666664,178.23266666666666
1949-06-01,2.333333333333333,-0.7333333333333334,2112.8226666666665,,38.446333333333335,178.01933333333332
1949-07-01,4.2,-0.6,2120.044,,39.549,177.80599999999998
1949-08-01,1.7000000000000002,-0.8999999999999999,2114.113,,38.855333333333334,178.62033333333332
1949-09-01,-0.7999999999999998,-1.2,2108.1820000000002,,38.16166666666667,179.4346666666667
1949-10-01,-3.3,-1.5,2102.251,,37.468,180.24900000000002
1949-11-01,3.366666666666667,0.2666666666666666,2129.7913333333336,,40.56166666666667,181.13933333333335
1949-12-01,10.033333333333335,2.033333333333333,2157.331666666667,,43.65533333333333,182.02966666666666
1950-01-01,16.7,3.8,2184.8720000000003,,46.748999999999995,182.92
1950-02-01,15.4,4.966666666666667,2207.083666666667,,48.596333333333334,184.21533333333332
1950-03-01,14.1,6.133333333333333,2229.2953333333335,,50.443666666666665,185.51066666666665
1950-04-01,12.8,7.3,2251.507,,52.291000000000004,186.80599999999998
1950-05-01,14.0,8.3,2280.5093333333334,,54.40766666666667,191.37233333333333
1950-06-01,15.2,9.3,2309.5116666666668,,56.52433333333334,195.93866666666665
1950-07-01,16.4,10.3,2338.514,,58.641000000000005,200.505
1950-08-01,13.566666666666666,11.333333333333334,2353.4396666666667,,61.90766666666667,199.652
1950-09-01,10.733333333333334,12.366666666666667,2368.3653333333336,,65.17433333333334,198.799
1950-10-01,7.9,13.4,2383.291,,68.441,197.946
1950-11-01,7.1000000000000005,12.466666666666667,2394.0806666666667,,67.15466666666667,201.69966666666667
1950-12-01,6.3,11.533333333333333,2404.8703333333333,,65.86833333333333,205.45333333333332
1951-01-01,5.5,10.6,2415.66,,64.582,209.207
1951-02-01,6.033333333333333,10.133333333333333,2429.6123333333335,,65.51566666666666,207.78533333333334
1951-03-01,6.566666666666666,9.666666666666666,2443.5646666666667,,66.44933333333333,206.36366666666666
1951-04-01,7.1,9.2,2457.5170000000003,,67.383,204.942
1951-05-01,7.566666666666666,8.566666666666666,2474.4,,65.58233333333334,205.83333333333334
1951-06-01,8.033333333333333,7.933333333333333,2491.2830000000004,,63.781666666666666,206.72466666666665
1951-07-01,8.5,7.3,2508.166,,61.981,207.61599999999999
1951-08-01,5.966666666666667,6.7,2510.0073333333335,,60.34866666666667,208.94066666666666
1951-09-01,3.4333333333333336,6.1,2511.8486666666668,,58.71633333333333,210.26533333333333
1951-10-01,0.9,5.5,2513.69,,57.083999999999996,211.59
1951-11-01,2.033333333333333,5.4,2522.6433333333334,,57.43333333333333,212.04966666666667
1951-12-01,3.1666666666666665,5.3,2531.596666666667,,57.782666666666664,212.50933333333336
1952-01-01,4.3,5.2,2540.55,,58.132,212.96900000000002
1952-02-01,3.1666666666666665,4.666666666666667,2542.3740000000003,,56.422666666666665,214.342
1952-03-01,2.033333333333333,4.133333333333334,2544.198,,54.71333333333333,215.715
1952-04-01,0.9,3.6,2546.022,,53.004,217.088
1952-05-01,1.5666666666666667,3.1333333333333333,2552.148333333333,,54.40933333333333,217.90966666666665
1952-06-01,2.2333333333333334,2.666666666666667,2558.2746666666667,,55.81466666666667,218.73133333333334
1952-07-01,2.9,2.2,2564.401,,57.22,219.553
1952-08-01,6.533333333333333,3.2666666666666666,2592.474333333333,,58.39233333333333,222.25866666666667
1952-09-01,10.166666666666666,4.333333333333334,2620.5476666666664,,59.56466666666666,224.96433333333331
1952-10-01,13.8,5.4,2648.6209999999996,,60.736999999999995,227.67
1952-11-01,11.733333333333334,5.666666666666667,2665.032333333333,,61.04566666666666,228.85333333333332
1952-12-01,9.666666666666668,5.933333333333334,2681.4436666666666,,61.35433333333334,230.03666666666666
1953-01-01,7.6,6.2,2697.855,,61.663000000000004,231.22
1953-02-01,6.1,6.4,2704.8063333333334,,61.81366666666667,231.8
1953-03-01,4.6,6.6,2711.757666666667,,61.964333333333336,232.38
1953-04-01,3.1,6.8,2718.7090000000003,,62.115,232.96
