DATE,BAA10YM,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1919-01-01,,,,,-1.1455302668429792,,,,,,,,,,,,,,,,,
1919-02-01,,,,,-1.151957156290323,,,,,,,,,,,,,,,,,
1919-03-01,,,,,-1.1559710619740429,,,,,,,,,,,,,,,,,
1919-04-01,,,,,-1.153560978431289,,,,,,,,,,,,,,,,,
1919-05-01,,,,,-1.152757617250371,,,,,,,,,,,,,,,,,
1919-06-01,,,,,-1.1439235444811435,,,,,,,,,,,,,,,,,
1919-07-01,,,,,-1.1350894717119158,,,,,,,,,,,,,,,,,
1919-08-01,,,,,-1.132679388169162,,,,,,,,,,,,,,,,,
1919-09-01,,,,,-1.1358928328928337,,,,,,,,,,,,,,,,,
1919-10-01,,,,,-1.1374995552546696,,,,,,,,,,,,,,,,,
1919-11-01,,,,,-1.1399096387974232,,,,,,,,,,,,,,,,,
1919-12-01,,,,,-1.1374995552546696,,,,,,,,,,,,,,,,,
1920-01-01,,,,,-1.1230419542190164,,,,,,,,,,,,,,,,,
1920-02-01,,,,,-1.1230419542190164,,,,,,,,,,,,,,,,,
1920-03-01,,,,,-1.126255398942688,,,,,,,,,,,,,,,,,
1920-04-01,,,,,-1.1350894717119158,,,,,,,,,,,,,,,,,
1920-05-01,,,,,-1.131072665807326,,,,,,,,,,,,,,,,,
1920-06-01,,,,,-1.1294659434454901,,,,,,,,,,,,,,,,,
1920-07-01,,,,,-1.1334827493500799,,,,,,,,,,,,,,,,,
1920-08-01,,,,,-1.132679388169162,,,,,,,,,,,,,,,,,
1920-09-01,,,,,-1.1383029164355876,,,,,,,,,,,,,,,,,
1920-10-01,,,,,-1.1447269056620613,,,,,,,,,,,,,,,,,
1920-11-01,,,,,-1.1567744231549608,,,,,,,,,,,,,,,,,
1920-12-01,,,,,-1.1648051347432706,,,,,,,,,,,,,,,,,
1921-01-01,,,,,-1.172035385371532,,,,,,,,,,,,,,,,,
1921-02-01,,,,,-1.1744425686934161,,,,,,,,,,,,,,,,,
1921-03-01,,,,,-1.177656013417088,,,,,,,,,,,,,,,,,
1921-04-01,,,,,-1.177656013417088,,,,,,,,,,,,,,,,,
1921-05-01,,,,,-1.1744425686934161,,,,,,,,,,,,,,,,,
1921-06-01,,,,,-1.175245929874334,,,,,,,,,,,,,,,,,
1921-07-01,,,,,-1.176049291055252,,,,,,,,,,,,,,,,,
1921-08-01,,,,,-1.172035385371532,,,,,,,,,,,,,,,,,
1921-09-01,,,,,-1.1712320241906142,,,,,,,,,,,,,,,,,
1921-10-01,,,,,-1.1640017735623525,,,,,,,,,,,,,,,,,
1921-11-01,,,,,-1.1656084959241884,,,,,,,,,,,,,,,,,
1921-12-01,,,,,-1.1664118571051063,,,,,,,,,,,,,,,,,
1922-01-01,,,,,-1.1615945902404685,,,,,,,,,,,,,,,,,
1922-02-01,,,,,-1.1559710619740429,,,,,,,,,,,,,,,,,
1922-03-01,,,,,-1.148743711566651,,,,,,,,,,,,,,,,,
1922-04-01,,,,,-1.153560978431289,,,,,,,,,,,,,,,,,
1922-05-01,,,,,-1.1463336280238974,,,,,,,,,,,,,,,,,
1922-06-01,,,,,-1.1391062776165055,,,,,,,,,,,,,,,,,
1922-07-01,,,,,-1.1391062776165055,,,,,,,,,,,,,,,,,
1922-08-01,,,,,-1.1423168221193076,,,,,,,,,,,,,,,,,
1922-09-01,,,,,-1.1342861105309978,,,,,,,,,,,,,,,,,
1922-10-01,,,,,-1.12545203776177,,,,,,,,,,,,,,,,,
1922-11-01,,,,,-1.1182246873543784,,,,,,,,,,,,,,,,,
1922-12-01,,,,,-1.1134045202688707,,,,,,,,,,,,,,,,,
1923-01-01,,,,,-1.1174213261734605,,,,,,,,,,,,,,,,,
1923-02-01,,,,,-1.1150112426307066,,,,,,,,,,,,,,,,,
1923-03-01,,,,,-1.109387714364281,,,,,,,,,,,,,,,,,
1923-04-01,,,,,-1.1053738086805611,,,,,,,,,,,,,,,,,
1923-05-01,,,,,-1.102963725137807,,,,,,,,,,,,,,,,,
1923-06-01,,,,,-1.104570447499643,,,,,,,,,,,,,,,,,
1923-07-01,,,,,-1.1061771698614788,,,,,,,,,,,,,,,,,
1923-08-01,,,,,-1.109387714364281,,,,,,,,,,,,,,,,,
1923-09-01,,,,,-1.1134045202688707,,,,,,,,,,,,,,,,,
1923-10-01,,,,,-1.1142078814497887,,,,,,,,,,,,,,,,,
1923-11-01,,,,,-1.1142078814497887,,,,,,,,,,,,,,,,,
1923-12-01,,,,,-1.1182246873543784,,,,,,,,,,,,,,,,,
1924-01-01,,,,,-1.1142078814497887,,,,,,,,,,,,,,,,,
1924-02-01,,,,,-1.1109944367261169,,,,,,,,,,,,,,,,,
1924-03-01,,,,,-1.1142078814497887,,,,,,,,,,,,,,,,,
1924-04-01,,,,,-1.1198285094953444,,,,,,,,,,,,,,,,,
1924-05-01,,,,,-1.127058760123606,,,,,,,,,,,,,,,,,
1924-06-01,,,,,-1.1342861105309978,,,,,,,,,,,,,,,,,
